,Species,Spacing (m),Yield Class,Management,Period (year),Carbon Standing (tCO2e/ ha/yr),Debris (tCO2e/ha/yr),Total (tCO2/ha/yr),Cumulative       in-period (tCO2e/ha/ 5yr period),Cum. Biomass Sequestrn (tCO2e/ha),Cum. Emis. Ongoing Mgmt (tCO2e/ha),Cumulative Total Sequestrn (tCO2e/ha),Removed from Forest (tCO2e/ha/yr)
SA3.010NO_thin025,SAB,3.0,10,NO_thin, 25-30,14.58,12.91,27.49,137.5,635.5,0.00,635.5,0.00
SA3.010NO_thin030,SAB,3.0,10,NO_thin, 30-35,12.45,5.16,17.61,88.1,723.5,0.00,723.5,0.00
SA3.010NO_thin035,SAB,3.0,10,NO_thin, 35-40,12.25,0.64,12.89,64.5,788.0,0.00,788.0,0.00
SA3.010NO_thin040,SAB,3.0,10,NO_thin, 40-45,10.96,-0.88,10.08,50.4,838.4,0.00,838.4,0.00
SA3.010NO_thin045,SAB,3.0,10,NO_thin, 45-50,9.69,-1.62,8.07,40.4,878.7,0.00,878.7,0.00
SA3.010NO_thin050,SAB,3.0,10,NO_thin, 50-55,8.56,-1.81,6.74,33.7,912.5,0.00,912.5,0.00
SA3.010NO_thin055,SAB,3.0,10,NO_thin, 55-60,7.46,-1.44,6.03,30.1,942.6,0.00,942.6,0.00
SA3.010NO_thin060,SAB,3.0,10,NO_thin, 60-65,6.28,-1.66,4.62,23.1,965.7,0.00,965.7,0.00
SA3.010NO_thin065,SAB,3.0,10,NO_thin, 65-70,5.60,-1.49,4.11,20.5,986.2,0.00,986.2,0.00
SA3.010NO_thin070,SAB,3.0,10,NO_thin, 70-75,5.02,-0.81,4.21,21.0,1007.2,0.00,1007.2,0.00
SA3.010NO_thin075,SAB,3.0,10,NO_thin, 75-80,4.49,-1.47,3.02,15.1,1022.3,0.00,1022.3,0.00
SA3.010NO_thin080,SAB,3.0,10,NO_thin, 80-85,3.95,-0.72,3.24,16.2,1038.5,0.00,1038.5,0.00
SA3.010NO_thin085,SAB,3.0,10,NO_thin, 85-90,3.52,-0.59,2.93,14.6,1053.1,0.00,1053.1,0.00
SA3.010NO_thin090,SAB,3.0,10,NO_thin, 90-95,3.07,-0.57,2.50,12.5,1065.7,0.00,1065.7,0.00
SA3.010NO_thin095,SAB,3.0,10,NO_thin, 95-100,2.77,-0.53,2.23,11.2,1076.8,0.00,1076.8,0.00
SA3.010NO_thin100,SAB,3.0,10,NO_thin,100-105,2.51,-0.32,2.19,11.0,1087.8,0.00,1087.8,0.00
SA3.010NO_thin105,SAB,3.0,10,NO_thin,105-110,2.23,-0.30,1.93,9.7,1097.4,0.00,1097.4,0.00
SA3.010NO_thin110,SAB,3.0,10,NO_thin,110-115,1.97,-0.46,1.51,7.5,1105.0,0.00,1105.0,0.00
SA3.010NO_thin115,SAB,3.0,10,NO_thin,115-120,1.75,-0.45,1.31,6.5,1111.5,0.00,1111.5,0.00
SA3.010NO_thin120,SAB,3.0,10,NO_thin,120-125,1.55,-0.35,1.20,6.0,1117.5,0.00,1117.5,0.00
SA3.010NO_thin125,SAB,3.0,10,NO_thin,125-130,1.32,-0.33,0.99,5.0,1122.5,0.00,1122.5,0.00
SA3.010NO_thin130,SAB,3.0,10,NO_thin,130-135,1.18,-0.23,0.95,4.8,1127.2,0.00,1127.2,0.00
SA3.010NO_thin135,SAB,3.0,10,NO_thin,135-140,1.04,-0.16,0.88,4.4,1131.6,0.00,1131.6,0.00
SA3.010NO_thin140,SAB,3.0,10,NO_thin,140-145,0.90,-0.18,0.72,3.6,1135.2,0.00,1135.2,0.00
SA3.010NO_thin145,SAB,3.0,10,NO_thin,145-150,0.80,-0.15,0.65,3.3,1138.5,0.00,1138.5,0.00
SA3.010NO_thin150,SAB,3.0,10,NO_thin,150-155,0.70,-0.18,0.52,2.6,1141.1,0.00,1141.1,0.00
SA3.010NO_thin155,SAB,3.0,10,NO_thin,155-160,0.61,-0.13,0.48,2.4,1143.5,0.00,1143.5,0.00
SA3.010NO_thin160,SAB,3.0,10,NO_thin,160-165,0.58,-0.11,0.47,2.4,1145.8,0.00,1145.8,0.00
SA3.010NO_thin165,SAB,3.0,10,NO_thin,165-170,0.53,-0.09,0.44,2.2,1148.0,0.00,1148.0,0.00
SA3.010NO_thin170,SAB,3.0,10,NO_thin,170-175,0.49,-0.08,0.41,2.0,1150.0,0.00,1150.0,0.00
SA3.010NO_thin175,SAB,3.0,10,NO_thin,175-180,0.40,-0.07,0.33,1.7,1151.7,0.00,1151.7,0.00
SA3.010NO_thin180,SAB,3.0,10,NO_thin,180-185,0.31,-0.06,0.24,1.2,1152.9,0.00,1152.9,0.00
SA3.010NO_thin185,SAB,3.0,10,NO_thin,185-190,0.31,-0.06,0.26,1.3,1154.2,0.00,1154.2,0.00
SA3.010NO_thin190,SAB,3.0,10,NO_thin,190-195,0.26,-0.05,0.21,1.0,1155.3,0.00,1155.3,0.00
SA3.010NO_thin195,SAB,3.0,10,NO_thin,195-200,0.22,-0.04,0.18,0.9,1156.2,0.00,1156.2,0.00
SA3.010Thinned000,SAB,3.0,10,Thinned,  0-5,,,,,,,10.1,
SA3.010Thinned005,SAB,3.0,10,Thinned,  5-10,,,,,,,55.2,
SA3.010Thinned010,SAB,3.0,10,Thinned, 10-15,,,,,,,190.1,
SA3.010Thinned015,SAB,3.0,10,Thinned, 15-20,,,,,,,290.0,
SA3.010Thinned020,SAB,3.0,10,Thinned, 20-25,,,,,,,347.5,
SA3.010Thinned025,SAB,3.0,10,Thinned, 25-30,,,,,,,423.3,
SA3.010Thinned030,SAB,3.0,10,Thinned, 30-35,,,,,,,477.8,
SA3.010Thinned035,SAB,3.0,10,Thinned, 35-40,,,,,,,528.9,
SA3.010Thinned040,SAB,3.0,10,Thinned, 40-45,,,,,,,565.2,
SA3.010Thinned045,SAB,3.0,10,Thinned, 45-50,,,,,,,581.3,
SA3.010Thinned050,SAB,3.0,10,Thinned, 50-55,,,,,,,600.0,
SA3.010Thinned055,SAB,3.0,10,Thinned, 55-60,,,,,,,606.9,
SA3.010Thinned060,SAB,3.0,10,Thinned, 60-65,,,,,,,615.1,
SA3.010Thinned065,SAB,3.0,10,Thinned, 65-70,,,,,,,621.5,
SA3.010Thinned070,SAB,3.0,10,Thinned, 70-75,,,,,,,623.2,
SA3.010Thinned075,SAB,3.0,10,Thinned, 75-80,,,,,,,623.2,
SA3.010Thinned080,SAB,3.0,10,Thinned, 80-85,,,,,,,623.2,
SA3.010Thinned085,SAB,3.0,10,Thinned, 85-90,,,,,,,623.2,
SA3.010Thinned090,SAB,3.0,10,Thinned, 90-95,,,,,,,623.2,
SA3.010Thinned095,SAB,3.0,10,Thinned, 95-100,,,,,,,623.2,
SA3.010Thinned100,SAB,3.0,10,Thinned,100-105,,,,,,,623.2,
SA3.010Thinned105,SAB,3.0,10,Thinned,105-110,,,,,,,623.2,
SA3.010Thinned110,SAB,3.0,10,Thinned,110-115,,,,,,,623.2,
SA3.010Thinned115,SAB,3.0,10,Thinned,115-120,,,,,,,623.2,
SA3.010Thinned120,SAB,3.0,10,Thinned,120-125,,,,,,,623.2,
SA3.010Thinned125,SAB,3.0,10,Thinned,125-130,,,,,,,623.2,
SA3.010Thinned130,SAB,3.0,10,Thinned,130-135,,,,,,,623.2,
SA3.010Thinned135,SAB,3.0,10,Thinned,135-140,,,,,,,623.2,
SA3.010Thinned140,SAB,3.0,10,Thinned,140-145,,,,,,,623.2,
SA3.010Thinned145,SAB,3.0,10,Thinned,145-150,,,,,,,623.2,
SA3.010Thinned150,SAB,3.0,10,Thinned,150-155,,,,,,,623.2,
SA3.010Thinned155,SAB,3.0,10,Thinned,155-160,,,,,,,623.2,
SA3.010Thinned160,SAB,3.0,10,Thinned,160-165,,,,,,,623.2,
SA3.010Thinned165,SAB,3.0,10,Thinned,165-170,,,,,,,623.2,
SA3.010Thinned170,SAB,3.0,10,Thinned,170-175,,,,,,,623.2,
SA3.010Thinned175,SAB,3.0,10,Thinned,175-180,,,,,,,623.2,
SA3.010Thinned180,SAB,3.0,10,Thinned,180-185,,,,,,,623.2,
SA3.010Thinned185,SAB,3.0,10,Thinned,185-190,,,,,,,623.2,
SA3.010Thinned190,SAB,3.0,10,Thinned,190-195,,,,,,,623.2,
SA3.010Thinned195,SAB,3.0,10,Thinned,195-200,,,,,,,623.2,
SA3.012NO_thin000,SAB,3.0,12,NO_thin,  0-5,4.50,0.37,4.87,24.3,24.3,0.00,24.3,0.00
SA3.012NO_thin005,SAB,3.0,12,NO_thin,  5-10,16.84,1.05,17.89,89.5,113.8,0.00,113.8,0.00
SA3.012NO_thin010,SAB,3.0,12,NO_thin, 10-15,36.85,1.60,38.46,192.3,306.1,0.00,306.1,0.00
SA3.012NO_thin015,SAB,3.0,12,NO_thin, 15-20,26.72,0.52,27.24,136.2,442.3,0.00,442.3,0.00
SA3.012NO_thin020,SAB,3.0,12,NO_thin, 20-25,19.43,14.45,33.88,169.4,611.7,0.00,611.7,0.00
SA3.012NO_thin025,SAB,3.0,12,NO_thin, 25-30,16.76,10.42,27.18,135.9,747.6,0.00,747.6,0.00
SA3.012NO_thin030,SAB,3.0,12,NO_thin, 30-35,16.74,2.91,19.65,98.3,845.8,0.00,845.8,0.00
SA3.012NO_thin035,SAB,3.0,12,NO_thin, 35-40,15.21,0.41,15.62,78.1,923.9,0.00,923.9,0.00
SA3.012NO_thin040,SAB,3.0,12,NO_thin, 40-45,13.28,-1.73,11.55,57.8,981.7,0.00,981.7,0.00
SA3.012NO_thin045,SAB,3.0,12,NO_thin, 45-50,11.68,-2.27,9.41,47.1,1028.8,0.00,1028.8,0.00
SA3.012NO_thin050,SAB,3.0,12,NO_thin, 50-55,10.28,-2.12,8.16,40.8,1069.6,0.00,1069.6,0.00
SA3.012NO_thin055,SAB,3.0,12,NO_thin, 55-60,8.86,-1.99,6.87,34.4,1103.9,0.00,1103.9,0.00
SA3.012NO_thin060,SAB,3.0,12,NO_thin, 60-65,7.56,-1.88,5.68,28.4,1132.3,0.00,1132.3,0.00
SA3.012NO_thin065,SAB,3.0,12,NO_thin, 65-70,6.60,-1.85,4.75,23.7,1156.0,0.00,1156.0,0.00
SA3.012NO_thin070,SAB,3.0,12,NO_thin, 70-75,5.82,-1.13,4.69,23.4,1179.5,0.00,1179.5,0.00
SA3.012NO_thin075,SAB,3.0,12,NO_thin, 75-80,5.32,-1.15,4.17,20.9,1200.3,0.00,1200.3,0.00
SA3.012NO_thin080,SAB,3.0,12,NO_thin, 80-85,4.74,-0.76,3.99,19.9,1220.3,0.00,1220.3,0.00
SA3.012NO_thin085,SAB,3.0,12,NO_thin, 85-90,4.18,-1.01,3.17,15.8,1236.1,0.00,1236.1,0.00
SA3.012NO_thin090,SAB,3.0,12,NO_thin, 90-95,3.68,-0.85,2.83,14.2,1250.2,0.00,1250.2,0.00
SA3.012NO_thin095,SAB,3.0,12,NO_thin, 95-100,3.28,-0.76,2.52,12.6,1262.8,0.00,1262.8,0.00
SA3.012NO_thin100,SAB,3.0,12,NO_thin,100-105,2.93,-0.63,2.30,11.5,1274.3,0.00,1274.3,0.00
SA3.012NO_thin105,SAB,3.0,12,NO_thin,105-110,2.56,-0.51,2.05,10.2,1284.6,0.00,1284.6,0.00
SA3.012NO_thin110,SAB,3.0,12,NO_thin,110-115,2.28,-0.44,1.84,9.2,1293.8,0.00,1293.8,0.00
SA3.012NO_thin115,SAB,3.0,12,NO_thin,115-120,2.07,-0.42,1.65,8.3,1302.1,0.00,1302.1,0.00
SA3.012NO_thin120,SAB,3.0,12,NO_thin,120-125,1.87,-0.34,1.53,7.7,1309.7,0.00,1309.7,0.00
SA3.012NO_thin125,SAB,3.0,12,NO_thin,125-130,1.59,-0.41,1.18,5.9,1315.6,0.00,1315.6,0.00
SA3.012NO_thin130,SAB,3.0,12,NO_thin,130-135,1.42,-0.34,1.08,5.4,1321.0,0.00,1321.0,0.00
SA3.012NO_thin135,SAB,3.0,12,NO_thin,135-140,1.21,-0.31,0.90,4.5,1325.5,0.00,1325.5,0.00
SA3.012NO_thin140,SAB,3.0,12,NO_thin,140-145,1.10,-0.24,0.86,4.3,1329.8,0.00,1329.8,0.00
SA3.012NO_thin145,SAB,3.0,12,NO_thin,145-150,1.01,-0.22,0.79,3.9,1333.7,0.00,1333.7,0.00
SA3.012NO_thin150,SAB,3.0,12,NO_thin,150-155,0.89,-0.17,0.72,3.6,1337.3,0.00,1337.3,0.00
SA3.012NO_thin155,SAB,3.0,12,NO_thin,155-160,0.73,-0.18,0.56,2.8,1340.1,0.00,1340.1,0.00
SA3.012NO_thin160,SAB,3.0,12,NO_thin,160-165,0.69,-0.13,0.57,2.8,1342.9,0.00,1342.9,0.00
SA3.012NO_thin165,SAB,3.0,12,NO_thin,165-170,0.58,-0.11,0.47,2.3,1345.3,0.00,1345.3,0.00
SA3.012NO_thin170,SAB,3.0,12,NO_thin,170-175,0.50,-0.10,0.39,2.0,1347.2,0.00,1347.2,0.00
SA3.012NO_thin175,SAB,3.0,12,NO_thin,175-180,0.45,-0.11,0.34,1.7,1349.0,0.00,1349.0,0.00
SA3.012NO_thin180,SAB,3.0,12,NO_thin,180-185,0.42,-0.08,0.35,1.7,1350.7,0.00,1350.7,0.00
SA3.012NO_thin185,SAB,3.0,12,NO_thin,185-190,0.37,-0.07,0.30,1.5,1352.2,0.00,1352.2,0.00
SA3.012NO_thin190,SAB,3.0,12,NO_thin,190-195,0.34,-0.06,0.28,1.4,1353.6,0.00,1353.6,0.00
SA3.012NO_thin195,SAB,3.0,12,NO_thin,195-200,0.25,-0.05,0.20,1.0,1354.6,0.00,1354.6,0.00
SA3.012Thinned000,SAB,3.0,12,Thinned,  0-5,,,,,,,24.3,
SA3.012Thinned005,SAB,3.0,12,Thinned,  5-10,,,,,,,109.8,
SA3.012Thinned010,SAB,3.0,12,Thinned, 10-15,,,,,,,233.1,
SA3.012Thinned015,SAB,3.0,12,Thinned, 15-20,,,,,,,308.7,
SA3.012Thinned020,SAB,3.0,12,Thinned, 20-25,,,,,,,407.4,
SA3.012Thinned025,SAB,3.0,12,Thinned, 25-30,,,,,,,493.6,
SA3.012Thinned030,SAB,3.0,12,Thinned, 30-35,,,,,,,567.7,
SA3.012Thinned035,SAB,3.0,12,Thinned, 35-40,,,,,,,622.9,
SA3.012Thinned040,SAB,3.0,12,Thinned, 40-45,,,,,,,649.4,
SA3.012Thinned045,SAB,3.0,12,Thinned, 45-50,,,,,,,676.5,
SA3.012Thinned050,SAB,3.0,12,Thinned, 50-55,,,,,,,688.7,
SA3.012Thinned055,SAB,3.0,12,Thinned, 55-60,,,,,,,703.2,
SA3.012Thinned060,SAB,3.0,12,Thinned, 60-65,,,,,,,713.6,
SA3.012Thinned065,SAB,3.0,12,Thinned, 65-70,,,,,,,715.3,
SA3.012Thinned070,SAB,3.0,12,Thinned, 70-75,,,,,,,717.9,
SA3.012Thinned075,SAB,3.0,12,Thinned, 75-80,,,,,,,717.9,
SA3.012Thinned080,SAB,3.0,12,Thinned, 80-85,,,,,,,717.9,
SA3.012Thinned085,SAB,3.0,12,Thinned, 85-90,,,,,,,717.9,
SA3.012Thinned090,SAB,3.0,12,Thinned, 90-95,,,,,,,717.9,
SA3.012Thinned095,SAB,3.0,12,Thinned, 95-100,,,,,,,717.9,
SA3.012Thinned100,SAB,3.0,12,Thinned,100-105,,,,,,,717.9,
SA3.012Thinned105,SAB,3.0,12,Thinned,105-110,,,,,,,717.9,
SA3.012Thinned110,SAB,3.0,12,Thinned,110-115,,,,,,,717.9,
SA3.012Thinned115,SAB,3.0,12,Thinned,115-120,,,,,,,717.9,
SA3.012Thinned120,SAB,3.0,12,Thinned,120-125,,,,,,,717.9,
SA3.012Thinned125,SAB,3.0,12,Thinned,125-130,,,,,,,717.9,
SA3.012Thinned130,SAB,3.0,12,Thinned,130-135,,,,,,,717.9,
SA3.012Thinned135,SAB,3.0,12,Thinned,135-140,,,,,,,717.9,
SA3.012Thinned140,SAB,3.0,12,Thinned,140-145,,,,,,,717.9,
SA3.012Thinned145,SAB,3.0,12,Thinned,145-150,,,,,,,717.9,
SA3.012Thinned150,SAB,3.0,12,Thinned,150-155,,,,,,,717.9,
SA3.012Thinned155,SAB,3.0,12,Thinned,155-160,,,,,,,717.9,
SA3.012Thinned160,SAB,3.0,12,Thinned,160-165,,,,,,,717.9,
SA3.012Thinned165,SAB,3.0,12,Thinned,165-170,,,,,,,717.9,
SA3.012Thinned170,SAB,3.0,12,Thinned,170-175,,,,,,,717.9,
SA3.012Thinned175,SAB,3.0,12,Thinned,175-180,,,,,,,717.9,
SA3.012Thinned180,SAB,3.0,12,Thinned,180-185,,,,,,,717.9,
SA3.012Thinned185,SAB,3.0,12,Thinned,185-190,,,,,,,717.9,
SA3.012Thinned190,SAB,3.0,12,Thinned,190-195,,,,,,,717.9,
SA3.012Thinned195,SAB,3.0,12,Thinned,195-200,,,,,,,717.9,
SP1.402NO_thin000,SP ,1.4,2,NO_thin,  0-5,,,,,,,3.9,0.00
SP1.402NO_thin005,SP ,1.4,2,NO_thin,  5-10,,,,,,,14.6,0.00
SP1.402NO_thin010,SP ,1.4,2,NO_thin, 10-15,,,,,,,45.2,0.00
SP1.402NO_thin015,SP ,1.4,2,NO_thin, 15-20,,,,,,,112.5,0.00
SP1.402NO_thin020,SP ,1.4,2,NO_thin, 20-25,,,,,,,183.9,0.00
SP1.402NO_thin025,SP ,1.4,2,NO_thin, 25-30,,,,,,,236.2,0.00
SP1.402NO_thin030,SP ,1.4,2,NO_thin, 30-35,,,,,,,289.2,0.00
SP1.402NO_thin035,SP ,1.4,2,NO_thin, 35-40,,,,,,,337.9,0.00
SP1.402NO_thin040,SP ,1.4,2,NO_thin, 40-45,,,,,,,382.6,0.00
SP1.402NO_thin045,SP ,1.4,2,NO_thin, 45-50,,,,,,,422.8,0.00
SP1.402NO_thin050,SP ,1.4,2,NO_thin, 50-55,,,,,,,459.8,0.00
SP1.402NO_thin055,SP ,1.4,2,NO_thin, 55-60,,,,,,,493.0,0.00
SP1.402NO_thin060,SP ,1.4,2,NO_thin, 60-65,,,,,,,523.4,0.00
SP1.402NO_thin065,SP ,1.4,2,NO_thin, 65-70,,,,,,,551.6,0.00
SP1.402NO_thin070,SP ,1.4,2,NO_thin, 70-75,,,,,,,576.3,0.00
SP1.402NO_thin075,SP ,1.4,2,NO_thin, 75-80,,,,,,,599.0,0.00
SP1.402NO_thin080,SP ,1.4,2,NO_thin, 80-85,,,,,,,620.8,0.00
SP1.402NO_thin085,SP ,1.4,2,NO_thin, 85-90,,,,,,,640.0,0.00
SP1.402NO_thin090,SP ,1.4,2,NO_thin, 90-95,,,,,,,657.7,0.00
SP1.402NO_thin095,SP ,1.4,2,NO_thin, 95-100,,,,,,,673.9,0.00
SP1.402NO_thin100,SP ,1.4,2,NO_thin,100-105,,,,,,,688.9,0.00
SP1.402NO_thin105,SP ,1.4,2,NO_thin,105-110,,,,,,,703.0,0.00
SP1.402NO_thin110,SP ,1.4,2,NO_thin,110-115,,,,,,,715.7,0.00
SP1.402NO_thin115,SP ,1.4,2,NO_thin,115-120,,,,,,,727.4,0.00
SP1.402NO_thin120,SP ,1.4,2,NO_thin,120-125,,,,,,,738.3,0.00
SP1.402NO_thin125,SP ,1.4,2,NO_thin,125-130,,,,,,,748.2,0.00
SP1.402NO_thin130,SP ,1.4,2,NO_thin,130-135,,,,,,,757.5,0.00
SP1.402NO_thin135,SP ,1.4,2,NO_thin,135-140,,,,,,,766.1,0.00
SP1.402NO_thin140,SP ,1.4,2,NO_thin,140-145,,,,,,,774.0,0.00
SP1.402NO_thin145,SP ,1.4,2,NO_thin,145-150,,,,,,,781.4,0.00
SP1.402NO_thin150,SP ,1.4,2,NO_thin,150-155,,,,,,,788.1,0.00
SP1.402NO_thin155,SP ,1.4,2,NO_thin,155-160,,,,,,,794.3,0.00
SP1.402NO_thin160,SP ,1.4,2,NO_thin,160-165,,,,,,,800.1,0.00
SP1.402NO_thin165,SP ,1.4,2,NO_thin,165-170,,,,,,,805.4,0.00
SP1.402NO_thin170,SP ,1.4,2,NO_thin,170-175,,,,,,,810.4,0.00
SP1.402NO_thin175,SP ,1.4,2,NO_thin,175-180,,,,,,,814.9,0.00
SP1.402NO_thin180,SP ,1.4,2,NO_thin,180-185,,,,,,,819.1,0.00
SP1.402NO_thin185,SP ,1.4,2,NO_thin,185-190,,,,,,,823.1,0.00
SP1.402NO_thin190,SP ,1.4,2,NO_thin,190-195,,,,,,,826.8,0.00
SP1.402NO_thin195,SP ,1.4,2,NO_thin,195-200,,,,,,,830.1,0.00
SP1.402Thinned000,SP ,1.4,2,Thinned,  0-5,,,,,,,3.9,0.00
SP1.402Thinned005,SP ,1.4,2,Thinned,  5-10,,,,,,,14.6,0.00
SP1.402Thinned010,SP ,1.4,2,Thinned, 10-15,,,,,,,45.2,0.00
SP1.402Thinned015,SP ,1.4,2,Thinned, 15-20,,,,,,,112.5,0.00
SP1.402Thinned020,SP ,1.4,2,Thinned, 20-25,,,,,,,122.6,0.00
SP1.402Thinned025,SP ,1.4,2,Thinned, 25-30,,,,,,,146.7,0.00
SP1.402Thinned030,SP ,1.4,2,Thinned, 30-35,,,,,,,183.5,0.00
SP1.402Thinned035,SP ,1.4,2,Thinned, 35-40,,,,,,,217.4,7.00
SP1.402Thinned040,SP ,1.4,2,Thinned, 40-45,,,,,,,248.7,4.78
SP1.402Thinned045,SP ,1.4,2,Thinned, 45-50,,,,,,,276.3,1.57
SP1.402Thinned050,SP ,1.4,2,Thinned, 50-55,,,,,,,298.8,0.95
SP1.402Thinned055,SP ,1.4,2,Thinned, 55-60,,,,,,,319.7,1.38
SP1.402Thinned060,SP ,1.4,2,Thinned, 60-65,,,,,,,337.3,1.31
SP1.402Thinned065,SP ,1.4,2,Thinned, 65-70,,,,,,,357.2,1.83
SP1.402Thinned070,SP ,1.4,2,Thinned, 70-75,,,,,,,373.8,1.90
SP1.402Thinned075,SP ,1.4,2,Thinned, 75-80,,,,,,,391.6,1.84
SP1.402Thinned080,SP ,1.4,2,Thinned, 80-85,,,,,,,406.6,1.80
SP1.402Thinned085,SP ,1.4,2,Thinned, 85-90,,,,,,,422.4,1.35
SP1.402Thinned090,SP ,1.4,2,Thinned, 90-95,,,,,,,436.8,1.19
SP1.402Thinned095,SP ,1.4,2,Thinned, 95-100,,,,,,,450.2,0.79
SP1.402Thinned100,SP ,1.4,2,Thinned,100-105,,,,,,,462.8,0.66
SP1.402Thinned105,SP ,1.4,2,Thinned,105-110,,,,,,,474.6,0.41
SP1.402Thinned110,SP ,1.4,2,Thinned,110-115,,,,,,,485.5,0.21
SP1.402Thinned115,SP ,1.4,2,Thinned,115-120,,,,,,,495.5,0.22
SP1.402Thinned120,SP ,1.4,2,Thinned,120-125,,,,,,,504.7,0.00
SP1.402Thinned125,SP ,1.4,2,Thinned,125-130,,,,,,,513.1,0.00
SP1.402Thinned130,SP ,1.4,2,Thinned,130-135,,,,,,,520.9,0.00
SP1.402Thinned135,SP ,1.4,2,Thinned,135-140,,,,,,,528.0,0.00
SP1.402Thinned140,SP ,1.4,2,Thinned,140-145,,,,,,,534.5,0.00
SP1.402Thinned145,SP ,1.4,2,Thinned,145-150,,,,,,,540.6,0.00
SP1.402Thinned150,SP ,1.4,2,Thinned,150-155,,,,,,,546.2,0.00
SP1.402Thinned155,SP ,1.4,2,Thinned,155-160,,,,,,,551.3,0.00
SP1.402Thinned160,SP ,1.4,2,Thinned,160-165,,,,,,,555.9,0.00
SP1.402Thinned165,SP ,1.4,2,Thinned,165-170,,,,,,,560.1,0.00
SP1.402Thinned170,SP ,1.4,2,Thinned,170-175,,,,,,,564.1,0.00
SP1.402Thinned175,SP ,1.4,2,Thinned,175-180,,,,,,,567.7,0.00
SP1.402Thinned180,SP ,1.4,2,Thinned,180-185,,,,,,,571.0,0.00
SP1.402Thinned185,SP ,1.4,2,Thinned,185-190,,,,,,,574.0,0.00
SP1.402Thinned190,SP ,1.4,2,Thinned,190-195,,,,,,,576.7,0.00
SP1.402Thinned195,SP ,1.4,2,Thinned,195-200,,,,,,,579.2,0.00
SP1.404NO_thin000,SP ,1.4,4,NO_thin,  0-5,0.01,0.12,0.14,0.7,0.7,0.00,0.7,0.00
SP1.404NO_thin005,SP ,1.4,4,NO_thin,  5-10,0.04,0.15,0.19,1.0,1.7,0.00,1.7,0.00
SP1.404NO_thin010,SP ,1.4,4,NO_thin, 10-15,0.13,0.15,0.29,1.4,3.1,0.00,3.1,0.00
SP1.404NO_thin015,SP ,1.4,4,NO_thin, 15-20,0.41,0.15,0.56,2.8,5.9,0.00,5.9,0.00
SP1.404NO_thin020,SP ,1.4,4,NO_thin, 20-25,1.25,0.15,1.41,7.0,12.9,0.00,12.9,0.00
SP1.404NO_thin025,SP ,1.4,4,NO_thin, 25-30,3.83,0.15,3.98,19.9,32.8,0.00,32.8,0.00
SP1.404NO_thin030,SP ,1.4,4,NO_thin, 30-35,11.68,0.15,11.83,59.2,92.0,0.00,92.0,0.00
SP1.404NO_thin035,SP ,1.4,4,NO_thin, 35-40,19.40,0.81,20.21,101.0,193.0,0.00,193.0,0.00
SP1.404NO_thin040,SP ,1.4,4,NO_thin, 40-45,9.11,0.33,9.44,47.2,240.2,0.00,240.2,0.00
SP1.404NO_thin045,SP ,1.4,4,NO_thin, 45-50,8.54,0.09,8.63,43.2,283.4,0.00,283.4,0.00
SP1.404NO_thin050,SP ,1.4,4,NO_thin, 50-55,7.33,1.52,8.85,44.3,327.6,0.00,327.6,0.00
SP1.404NO_thin055,SP ,1.4,4,NO_thin, 55-60,4.95,2.74,7.69,38.5,366.1,0.00,366.1,0.00
SP1.404NO_thin060,SP ,1.4,4,NO_thin, 60-65,3.62,1.26,4.88,24.4,390.5,0.00,390.5,0.00
SP1.404NO_thin065,SP ,1.4,4,NO_thin, 65-70,3.81,0.31,4.12,20.6,411.1,0.00,411.1,0.00
SP1.404NO_thin070,SP ,1.4,4,NO_thin, 70-75,3.75,-0.16,3.59,18.0,429.0,0.00,429.0,0.00
SP1.404NO_thin075,SP ,1.4,4,NO_thin, 75-80,3.97,-0.25,3.72,18.6,447.6,0.00,447.6,0.00
SP1.404NO_thin080,SP ,1.4,4,NO_thin, 80-85,3.77,-0.29,3.48,17.4,465.0,0.00,465.0,0.00
SP1.404NO_thin085,SP ,1.4,4,NO_thin, 85-90,3.47,-0.27,3.20,16.0,481.0,0.00,481.0,0.00
SP1.404NO_thin090,SP ,1.4,4,NO_thin, 90-95,2.87,0.14,3.01,15.1,496.1,0.00,496.1,0.00
SP1.404NO_thin095,SP ,1.4,4,NO_thin, 95-100,2.35,-0.58,1.77,8.9,505.0,0.00,505.0,0.00
SP1.404NO_thin100,SP ,1.4,4,NO_thin,100-105,2.10,-0.57,1.53,7.7,512.6,0.00,512.6,0.00
SP1.404NO_thin105,SP ,1.4,4,NO_thin,105-110,2.11,-0.50,1.61,8.0,520.7,0.00,520.7,0.00
SP1.404NO_thin110,SP ,1.4,4,NO_thin,110-115,1.74,-0.11,1.63,8.2,528.8,0.00,528.8,0.00
SP1.404NO_thin115,SP ,1.4,4,NO_thin,115-120,1.50,-0.36,1.14,5.7,534.5,0.00,534.5,0.00
SP1.404NO_thin120,SP ,1.4,4,NO_thin,120-125,1.28,-0.33,0.96,4.8,539.3,0.00,539.3,0.00
SP1.404NO_thin125,SP ,1.4,4,NO_thin,125-130,1.12,-0.30,0.82,4.1,543.4,0.00,543.4,0.00
SP1.404NO_thin130,SP ,1.4,4,NO_thin,130-135,0.73,-0.26,0.47,2.4,545.7,0.00,545.7,0.00
SP1.404NO_thin135,SP ,1.4,4,NO_thin,135-140,0.52,-0.19,0.33,1.6,547.4,0.00,547.4,0.00
